brand,cell,cascade_order,model,probe_text,response_text,recognized,timestamp,latency_s
Mercedes-Benz,A,1,claude-opus-4-5,Is the brand Mercedes-Benz commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-05-25T17:53:41.570599+00:00,3.698
Mercedes-Benz,A,1,claude-sonnet-4-5,Is the brand Mercedes-Benz commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-05-25T17:53:41.096260+00:00,3.224
Mercedes-Benz,A,1,gemini-2.5-flash,Is the brand Mercedes-Benz commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-05-25T17:53:41.231650+00:00,3.358
Mercedes-Benz,A,1,gemini-2.5-flash-lite,Is the brand Mercedes-Benz commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-05-25T17:53:40.463282+00:00,2.590
Mercedes-Benz,A,1,gpt-4o,Is the brand Mercedes-Benz commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-05-25T17:53:42.112600+00:00,4.240
Mercedes-Benz,A,1,gpt-4o-mini,Is the brand Mercedes-Benz commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-05-25T17:53:42.035861+00:00,4.163
Jaguar,A,2,claude-opus-4-5,Is the brand Jaguar commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-05-25T17:53:42.472918+00:00,2.009
Jaguar,A,2,claude-sonnet-4-5,Is the brand Jaguar commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-05-25T17:53:42.635078+00:00,1.538
Jaguar,A,2,gemini-2.5-flash,Is the brand Jaguar commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-05-25T17:53:43.833059+00:00,1.796
Jaguar,A,2,gemini-2.5-flash-lite,Is the brand Jaguar commonly recognized as a car brand? Answer yes or no.,Yes,yes,2026-05-25T17:53:42.509040+00:00,0.397
Jaguar,A,2,gpt-4o,Is the brand Jaguar commonly recognized as a car brand? Answer yes or no.,Yes.,yes,2026-05-25T17:53:42.685729+00:00,1.454
