brand,category,region,t1_n_days_total,t1_n_nonzero_days,t1_mean,t1_sd,t1_min,t1_max,t1_raw_mean,t1_raw_sd,t1_eligible_E1b,t1_raw_eligible,t1_sparse_E5,t2_n_days_total,t2_n_nonzero_days,t2_mean,t2_sd,t2_min,t2_max,t2_raw_mean,t2_raw_sd,t2_eligible_E1b,t2_raw_eligible,t2_sparse_E5
Au Nain,kitchen_knives,worldwide,7,7,23.35,1.64,21.05,26.32,4.57,0.53,True,True,False,7,7,21.94,7.8,10.0,29.41,4.86,0.9,True,True,False
Au Nain,kitchen_knives,US,7,0,0.0,0.0,0.0,0.0,0,0.0,False,False,True,7,0,0.0,0.0,0.0,0.0,0,0.0,False,False,True
Cutco,kitchen_knives,worldwide,7,7,277.36,14.84,250.0,294.12,54.14,4.1,True,True,False,7,7,267.25,102.69,117.65,368.75,57.71,1.6,True,True,False
Cutco,kitchen_knives,US,7,7,908.66,93.88,736.36,1055.56,86.43,7.04,True,True,False,7,7,976.48,234.54,684.62,1250.0,96,3.79,True,True,False
Dalstrong,kitchen_knives,worldwide,7,7,88.5,5.41,78.95,94.44,17.29,1.5,True,True,False,7,7,69.72,27.64,33.33,112.5,15.43,2.76,True,True,False
Dalstrong,kitchen_knives,US,7,7,154.26,22.18,122.22,188.89,14.71,2.14,True,True,False,7,7,151.87,20.59,125.0,187.5,15.29,1.89,True,True,False
Friedr. Dick,kitchen_knives,worldwide,7,0,0.0,0.0,0.0,0.0,0,0.0,False,False,True,7,0,0.0,0.0,0.0,0.0,0,0.0,False,False,True
Friedr. Dick,kitchen_knives,US,7,0,0.0,0.0,0.0,0.0,0,0.0,False,False,True,7,0,0.0,0.0,0.0,0.0,0,0.0,False,False,True
Global,kitchen_knives,worldwide,7,0,,,,,,,False,False,True,7,0,,,,,,,False,False,True
Global,kitchen_knives,US,7,0,,,,,,,False,False,True,7,0,,,,,,,False,False,True
Güde,kitchen_knives,worldwide,7,7,305.73,35.88,255.0,366.67,54.14,3.67,True,True,False,7,7,269.29,87.01,144.68,343.75,55.43,5.97,True,True,False
Güde,kitchen_knives,US,7,0,0.0,0.0,0.0,0.0,0,0.0,False,False,True,7,0,0.0,0.0,0.0,0.0,0,0.0,False,False,True
Hengtai,kitchen_knives,worldwide,7,7,14.37,5.54,8.33,20.0,1.57,0.53,True,True,False,7,7,10.61,5.81,3.45,20.0,1.29,0.49,True,True,False
Hengtai,kitchen_knives,US,7,1,2.68,7.09,0.0,18.75,0.43,1.13,True,True,True,7,0,0.0,0.0,0.0,0.0,0,0.0,False,False,True
Laguiole,kitchen_knives,worldwide,7,7,399.39,36.92,331.82,438.1,78,9.02,True,True,False,7,7,366.66,125.1,190.0,517.65,81.43,11.36,True,True,False
Laguiole,kitchen_knives,US,7,7,161.33,30.2,122.22,211.11,15.43,3.1,True,True,False,7,7,157.3,21.85,123.08,187.5,15.86,2.34,True,True,False
Mac,kitchen_knives,worldwide,7,0,,,,,,,False,False,True,7,0,,,,,,,False,False,True
Mac,kitchen_knives,US,7,0,,,,,,,False,False,True,7,0,,,,,,,False,False,True
Made In,kitchen_knives,worldwide,7,0,,,,,,,False,False,True,7,0,,,,,,,False,False,True
Made In,kitchen_knives,US,7,0,,,,,,,False,False,True,7,0,,,,,,,False,False,True
Messermeister,kitchen_knives,worldwide,7,7,37.79,7.81,26.32,50.0,14.29,3.04,True,True,False,7,7,30.15,8.29,19.0,43.75,13.71,4.31,True,True,False
Messermeister,kitchen_knives,US,7,7,71.34,17.0,50.0,91.3,33.43,9.25,True,True,False,7,7,77.6,16.85,47.17,97.22,37.86,13.06,True,True,False
Misen,kitchen_knives,worldwide,7,0,,,,,,,False,False,True,7,0,,,,,,,False,False,True
Misen,kitchen_knives,US,7,0,,,,,,,False,False,True,7,0,,,,,,,False,False,True
Miyabi,kitchen_knives,worldwide,7,0,,,,,,,False,False,True,7,0,,,,,,,False,False,True
Miyabi,kitchen_knives,US,7,0,,,,,,,False,False,True,7,0,,,,,,,False,False,True
New West KnifeWorks,kitchen_knives,worldwide,7,0,,,,,,,False,False,True,7,0,,,,,,,False,False,True
New West KnifeWorks,kitchen_knives,US,7,0,,,,,,,False,False,True,7,0,,,,,,,False,False,True
Opinel,kitchen_knives,worldwide,7,7,490.46,61.94,395.0,580.0,87,9.35,True,True,False,7,7,425.33,147.77,202.13,543.75,86.29,7.39,True,True,False
Opinel,kitchen_knives,US,7,7,147.06,14.81,118.75,162.26,72,10.6,True,True,False,7,7,164.26,35.33,115.15,213.51,80,9.76,True,True,False
Sabatier,kitchen_knives,worldwide,7,7,325.07,63.56,240.0,413.33,57.14,6.34,True,True,False,7,7,289.8,100.79,131.91,393.33,59.14,6.47,True,True,False
Sabatier,kitchen_knives,US,7,7,126.39,16.75,105.66,150.0,61.57,8.06,True,True,False,7,7,121.57,31.73,81.82,167.57,58.57,5.88,True,True,False
Shun,kitchen_knives,worldwide,7,0,,,,,,,False,False,True,7,0,,,,,,,False,False,True
Shun,kitchen_knives,US,7,0,,,,,,,False,False,True,7,0,,,,,,,False,False,True
Sunlong,kitchen_knives,worldwide,7,7,16.86,4.0,8.33,20.0,1.86,0.38,True,True,False,7,7,14.12,7.08,4.35,22.22,1.71,0.49,True,True,False
Sunlong,kitchen_knives,US,7,0,0.0,0.0,0.0,0.0,0,0.0,False,False,True,7,0,0.0,0.0,0.0,0.0,0,0.0,False,False,True
Tojiro,kitchen_knives,worldwide,7,7,119.04,10.21,102.38,130.3,44.86,3.13,True,True,False,7,7,111.99,32.04,64.0,146.88,48.86,8.43,True,True,False
Tojiro,kitchen_knives,US,7,7,125.5,9.83,113.04,140.91,58.43,6.37,True,True,False,7,7,141.12,18.61,119.05,169.44,67,7.83,True,True,False
Wüsthof,kitchen_knives,worldwide,7,7,100.0,0.0,100.0,100.0,0,0.0,False,False,False,7,7,100.0,0.0,100.0,100.0,0,0.0,False,False,False
Wüsthof,kitchen_knives,US,7,7,100.0,0.0,100.0,100.0,0,0.0,False,False,False,7,7,100.0,0.0,100.0,100.0,0,0.0,False,False,False
Yoshihiro,kitchen_knives,worldwide,7,7,146.41,9.08,133.33,156.1,55.29,4.39,True,True,False,7,7,140.58,51.75,58.0,196.88,58.57,5.0,True,True,False
Yoshihiro,kitchen_knives,US,7,7,166.09,12.26,148.94,182.69,77.43,9.36,True,True,False,7,7,179.6,41.2,115.87,239.47,83.86,10.01,True,True,False
ZHEN,kitchen_knives,worldwide,7,7,842.53,67.3,750.0,940.0,93.43,3.82,True,True,False,7,7,721.53,288.88,317.24,1111.11,89.43,9.43,True,True,False
ZHEN,kitchen_knives,US,7,7,500.12,63.8,430.0,588.24,89.43,6.78,True,True,False,7,7,491.09,145.22,332.0,650.0,87.14,5.67,True,True,False
