brand,category,region,bundle_id,date,wave,raw_value,pivot_raw_value,rescaled_value
Wüsthof,kitchen_knives,worldwide,1,2026-05-03,t1,0,0,100.0
Shun,kitchen_knives,worldwide,1,2026-05-03,t1,1,0,
Global,kitchen_knives,worldwide,1,2026-05-03,t1,50,0,
Miyabi,kitchen_knives,worldwide,1,2026-05-03,t1,1,0,
Mac,kitchen_knives,worldwide,1,2026-05-03,t1,94,0,
Wüsthof,kitchen_knives,worldwide,1,2026-05-04,t1,0,0,100.0
Shun,kitchen_knives,worldwide,1,2026-05-04,t1,1,0,
Global,kitchen_knives,worldwide,1,2026-05-04,t1,65,0,
Miyabi,kitchen_knives,worldwide,1,2026-05-04,t1,1,0,
Mac,kitchen_knives,worldwide,1,2026-05-04,t1,100,0,
Wüsthof,kitchen_knives,worldwide,1,2026-05-05,t1,0,0,100.0
Shun,kitchen_knives,worldwide,1,2026-05-05,t1,1,0,
Global,kitchen_knives,worldwide,1,2026-05-05,t1,68,0,
Miyabi,kitchen_knives,worldwide,1,2026-05-05,t1,1,0,
Mac,kitchen_knives,worldwide,1,2026-05-05,t1,97,0,
Wüsthof,kitchen_knives,worldwide,1,2026-05-06,t1,0,0,100.0
Shun,kitchen_knives,worldwide,1,2026-05-06,t1,1,0,
Global,kitchen_knives,worldwide,1,2026-05-06,t1,73,0,
Miyabi,kitchen_knives,worldwide,1,2026-05-06,t1,1,0,
Mac,kitchen_knives,worldwide,1,2026-05-06,t1,100,0,
Wüsthof,kitchen_knives,worldwide,1,2026-05-07,t1,0,0,100.0
Shun,kitchen_knives,worldwide,1,2026-05-07,t1,1,0,
Global,kitchen_knives,worldwide,1,2026-05-07,t1,71,0,
Miyabi,kitchen_knives,worldwide,1,2026-05-07,t1,1,0,
Mac,kitchen_knives,worldwide,1,2026-05-07,t1,96,0,
Wüsthof,kitchen_knives,worldwide,1,2026-05-08,t1,0,0,100.0
Shun,kitchen_knives,worldwide,1,2026-05-08,t1,1,0,
Global,kitchen_knives,worldwide,1,2026-05-08,t1,67,0,
Miyabi,kitchen_knives,worldwide,1,2026-05-08,t1,1,0,
Mac,kitchen_knives,worldwide,1,2026-05-08,t1,100,0,
Wüsthof,kitchen_knives,worldwide,1,2026-05-09,t1,0,0,100.0
Shun,kitchen_knives,worldwide,1,2026-05-09,t1,1,0,
Global,kitchen_knives,worldwide,1,2026-05-09,t1,55,0,
Miyabi,kitchen_knives,worldwide,1,2026-05-09,t1,1,0,
Mac,kitchen_knives,worldwide,1,2026-05-09,t1,94,0,
Wüsthof,kitchen_knives,worldwide,1,2026-05-10,t2,0,0,100.0
Shun,kitchen_knives,worldwide,1,2026-05-10,t2,1,0,
Global,kitchen_knives,worldwide,1,2026-05-10,t2,57,0,
Miyabi,kitchen_knives,worldwide,1,2026-05-10,t2,1,0,
Mac,kitchen_knives,worldwide,1,2026-05-10,t2,92,0,
Wüsthof,kitchen_knives,worldwide,1,2026-05-11,t2,0,0,100.0
Shun,kitchen_knives,worldwide,1,2026-05-11,t2,1,0,
Global,kitchen_knives,worldwide,1,2026-05-11,t2,74,0,
Miyabi,kitchen_knives,worldwide,1,2026-05-11,t2,1,0,
