brand_canonical,category,tier_in_registry,pytrends_chosen_mid,pytrends_chosen_title,pytrends_chosen_type,solo_query,solo_phase_b_result,solo_max_value,solo_mean_value,e5_bundled_result,e5_slot_max,e5_slot_mean,final_query_tier,acquisition_query,notes
CeraVe,skincare,incumbent,/g/11wx9zfl1r,CeraVe Cleanser Hydrating,Skin care,CeraVe,PASS,100,89.43,NOT_TESTED,,,PASS,CeraVe,pytrends: type='Skin care' matches category keyword set
Cetaphil,skincare,incumbent,/g/11rv4gmy_x,Cetaphil Gentle Skin Cleanser,Skin care,/g/11rv4gmy_x,PASS,100,92.71,NOT_TESTED,,,PASS,/g/11rv4gmy_x,pytrends: type='Skin care' matches category keyword set
Neutrogena,skincare,incumbent,/m/061t8w,Neutrogena,Cosmetics company,/m/061t8w,PASS,100,25.86,NOT_TESTED,,,PASS,/m/061t8w,pytrends: type='Cosmetics company' matches category keyword set
La Roche-Posay,skincare,incumbent,/g/11cp7jtw54,La Roche-Posay,Topic,/g/11cp7jtw54,PASS,100,86.43,NOT_TESTED,,,PASS,/g/11cp7jtw54,pytrends: no category-keyword match; defaulted to first suggestion (type='Topic')
Vanicream,skincare,incumbent,/g/11lmsbyk0h,Vanicream Gentle Facial Cleanser Sensitive Skin,Skin care,/g/11lmsbyk0h,PASS,100,78.0,NOT_TESTED,,,PASS,/g/11lmsbyk0h,pytrends: type='Skin care' matches category keyword set
Skinceuticals,skincare,incumbent,,,,Skinceuticals,PASS,100,94.71,NOT_TESTED,,,PASS,Skinceuticals,"pytrends: pytrends exception: HTTPSConnectionPool(host='trends.google.com', port=443): Read timed out. (read timeout=10)"
Eucerin,skincare,incumbent,/m/0125wkzs,Aquaphor,Drug brand,/m/0125wkzs,PASS,100,87.71,NOT_TESTED,,,PASS,/m/0125wkzs,pytrends: type='Drug brand' matches category keyword set
Paula's Choice,skincare,mid-tier,/g/11g9mn9twf,Paula's Choice,Company,/g/11g9mn9twf,PASS,100,93.57,NOT_TESTED,,,PASS,/g/11g9mn9twf,pytrends: type='Company' matches category keyword set
Drunk Elephant,skincare,mid-tier,/g/11g6qkqq0v,Drunk Elephant,Topic,/g/11g6qkqq0v,PASS,100,78.14,NOT_TESTED,,,PASS,/g/11g6qkqq0v,pytrends: no category-keyword match; defaulted to first suggestion (type='Topic')
Tatcha,skincare,mid-tier,/g/11c6tx2q_t,TATCHA,Topic,/g/11c6tx2q_t,PASS,100,89.86,NOT_TESTED,,,PASS,/g/11c6tx2q_t,pytrends: no category-keyword match; defaulted to first suggestion (type='Topic')
The Ordinary,skincare,mid-tier,/g/11g6qkjtcg,The Ordinary,Topic,/g/11g6qkjtcg,PASS,100,73.0,NOT_TESTED,,,PASS,/g/11g6qkjtcg,pytrends: no category-keyword match; defaulted to first suggestion (type='Topic')
EltaMD,skincare,mid-tier,/g/113ml5z9y,EltaMD,Topic,/g/113ml5z9y,PASS,100,89.0,NOT_TESTED,,,PASS,/g/113ml5z9y,pytrends: no category-keyword match; defaulted to first suggestion (type='Topic')
Bioderma,skincare,mid-tier,/g/11c0xrmhjb,BIODERMA,Topic,/g/11c0xrmhjb,PASS,100,96.57,NOT_TESTED,,,PASS,/g/11c0xrmhjb,pytrends: no category-keyword match; defaulted to first suggestion (type='Topic')
Avène,skincare,mid-tier,/g/113mzhymc,Avène,Topic,/g/113mzhymc,PASS,100,95.71,NOT_TESTED,,,PASS,/g/113mzhymc,pytrends: no category-keyword match; defaulted to first suggestion (type='Topic')
Aveeno,skincare,mid-tier,/g/11bc65nmzp,Aveeno,Topic,/g/11bc65nmzp,PASS,100,49.71,NOT_TESTED,,,PASS,/g/11bc65nmzp,pytrends: no category-keyword match; defaulted to first suggestion (type='Topic')
First Aid Beauty,skincare,mid-tier,/g/11cnkmrf43,First Aid Beauty,Topic,/g/11cnkmrf43,PASS,100,82.57,NOT_TESTED,,,PASS,/g/11cnkmrf43,pytrends: no category-keyword match; defaulted to first suggestion (type='Topic')
Augustinus Bader,skincare,challenger,/g/11mp3g199j,Augustinus Bader,Topic,/g/11mp3g199j,PASS,100,84.29,NOT_TESTED,,,PASS,/g/11mp3g199j,pytrends: no category-keyword match; defaulted to first suggestion (type='Topic')
Youth to the People,skincare,challenger,/g/11h1y83h6r,Youth To The People,Company,/g/11h1y83h6r,PASS,100,82.57,NOT_TESTED,,,PASS,/g/11h1y83h6r,pytrends: type='Company' matches category keyword set
La Mer,skincare,challenger,/m/03yml9x,La Mer,Topic,/m/03yml9x,PASS,100,84.43,NOT_TESTED,,,PASS,/m/03yml9x,pytrends: no category-keyword match; defaulted to first suggestion (type='Topic')
Estée Lauder,skincare,challenger,/m/02mr_1,Estée Lauder Companies,Cosmetics company,/m/02mr_1,PASS,100,87.57,NOT_TESTED,,,PASS,/m/02mr_1,pytrends: type='Cosmetics company' matches category keyword set
Lancôme,skincare,challenger,/m/05mxqz,Lancôme,Cosmetics company,/m/05mxqz,PASS,100,92.0,NOT_TESTED,,,PASS,/m/05mxqz,pytrends: type='Cosmetics company' matches category keyword set
Clinique,skincare,challenger,/m/0_svhh_,Clinique,Topic,/m/0_svhh_,PASS,100,93.43,NOT_TESTED,,,PASS,/m/0_svhh_,pytrends: no category-keyword match; defaulted to first suggestion (type='Topic')
Kiehl's,skincare,challenger,/m/026dq_r,Kiehl's,Personal care product company,/m/026dq_r,PASS,100,86.43,NOT_TESTED,,,PASS,/m/026dq_r,pytrends: type='Personal care product company' matches category keyword set
Sunday Riley,skincare,challenger,/g/11dxd3t6wd,Sunday Riley,Topic,/g/11dxd3t6wd,PASS,100,73.43,NOT_TESTED,,,PASS,/g/11dxd3t6wd,pytrends: no category-keyword match; defaulted to first suggestion (type='Topic')
SK-II,skincare,challenger,/g/11bwdcbdlj,SK II Facial Treatment Essence,Facial moisturizer,/g/11bwdcbdlj,PASS,100,66.43,NOT_TESTED,,,PASS,/g/11bwdcbdlj,pytrends: no category-keyword match; defaulted to first suggestion (type='Facial moisturizer')
Olay,skincare,challenger,/m/07d8ml,Olay,Topic,/m/07d8ml,PASS,100,46.29,NOT_TESTED,,,PASS,/m/07d8ml,pytrends: no category-keyword match; defaulted to first suggestion (type='Topic')
Origins,skincare,challenger,/m/0_vwzvg,Origins,Topic,/m/0_vwzvg,PASS,100,81.14,NOT_TESTED,,,PASS,/m/0_vwzvg,pytrends: no category-keyword match; defaulted to first suggestion (type='Topic')
Dermalogica,skincare,challenger,/g/113mdlkgh,dermalogica,Topic,/g/113mdlkgh,PASS,100,91.43,NOT_TESTED,,,PASS,/g/113mdlkgh,pytrends: no category-keyword match; defaulted to first suggestion (type='Topic')
Murad,skincare,challenger,/g/113pjywv7,Murad,Topic,/g/113pjywv7,PASS,100,83.57,NOT_TESTED,,,PASS,/g/113pjywv7,pytrends: no category-keyword match; defaulted to first suggestion (type='Topic')
Glossier,skincare,challenger,/g/11h1qtm97p,Glossier,Company,/g/11h1qtm97p,PASS,100,94.86,NOT_TESTED,,,PASS,/g/11h1qtm97p,pytrends: type='Company' matches category keyword set
Beauty of Joseon,skincare,challenger,/g/11rqgp6dlj,Beauty of Joseon,Topic,/g/11rqgp6dlj,PASS,100,90.29,NOT_TESTED,,,PASS,/g/11rqgp6dlj,pytrends: no category-keyword match; defaulted to first suggestion (type='Topic')
Mint,finance,incumbent,,,,mint personal finance,PASS,100,14.29,NOT_TESTED,,,PASS,mint personal finance,Mint disambiguation PASS via 'mint_personal_finance' | pytrends: strict Mint filter: no suggestion matched accept-keywords; falling through to string-strategy disambiguation
Quicken,finance,incumbent,/m/0cfzgk,Rocket Mortgage,Mortgages company,/m/0cfzgk,PASS,100,73.57,NOT_TESTED,,,PASS,/m/0cfzgk,pytrends: type='Mortgages company' matches category keyword set
Quicken Simplifi,finance,incumbent,/g/11xvvz6wpg,Quicken Simplifi Personal Finance for 1 User,Software,/g/11xvvz6wpg,FAIL_API,,,ALL_ZERO,,,EXCLUDED_E1a,,pytrends: type='Software' matches category keyword set
YNAB,finance,incumbent,/m/02w_zr7,YNAB,Computer program,YNAB,PASS,100,82.0,NOT_TESTED,,,PASS,YNAB,pytrends: no category-keyword match; defaulted to first suggestion (type='Computer program')
Empower,finance,incumbent,/g/11g71t_4sy,Empower,Financial services company,/g/11g71t_4sy,PASS,100,84.14,NOT_TESTED,,,PASS,/g/11g71t_4sy,pytrends: type='Financial services company' matches category keyword set
NerdWallet,finance,incumbent,/m/0hzpb7j,NerdWallet,Company,/m/0hzpb7j,PASS,100,76.0,NOT_TESTED,,,PASS,/m/0hzpb7j,pytrends: type='Company' matches category keyword set
Rocket Money,finance,mid-tier,/g/11g9n3wfpw,Rocket Money,Company,/g/11g9n3wfpw,PASS,100,86.71,NOT_TESTED,,,PASS,/g/11g9n3wfpw,pytrends: type='Company' matches category keyword set
PocketGuard,finance,mid-tier,/g/11kzq2vm1h,PocketGuard – Budgeting App,Software,/g/11kzq2vm1h,PASS,100,50.0,NOT_TESTED,,,PASS,/g/11kzq2vm1h,pytrends: type='Software' matches category keyword set
Goodbudget,finance,mid-tier,/g/11k31_hh5v,Goodbudget,Software,/g/11k31_hh5v,PASS,100,65.71,NOT_TESTED,,,PASS,/g/11k31_hh5v,pytrends: type='Software' matches category keyword set
EveryDollar,finance,mid-tier,/g/11kzq5f67g,EveryDollar,Software,/g/11kzq5f67g,PASS,100,83.86,NOT_TESTED,,,PASS,/g/11kzq5f67g,pytrends: type='Software' matches category keyword set
Monarch Money,finance,challenger,/g/11llqmms61,Monarch,Software company,/g/11llqmms61,PASS,100,66.71,NOT_TESTED,,,PASS,/g/11llqmms61,pytrends: type='Software company' matches category keyword set
Copilot,finance,challenger,/g/11q83qbj3d,GitHub Copilot,Software,/g/11q83qbj3d,PASS,100,85.86,NOT_TESTED,,,PASS,/g/11q83qbj3d,pytrends: type='Software' matches category keyword set
Lunch Money,finance,challenger,/g/11x_bjn3_l,Lunch Money,Topic,/g/11x_bjn3_l,FAIL_API,,,PASS_E5,5,0.71,PASS_E5,/g/11x_bjn3_l,pytrends: no category-keyword match; defaulted to first suggestion (type='Topic')
Origin,finance,challenger,/g/11v45fr_k2,EA App,Downloadable software,/g/11v45fr_k2,PASS,100,87.43,NOT_TESTED,,,PASS,/g/11v45fr_k2,pytrends: type='Downloadable software' matches category keyword set
Cleo,finance,challenger,/g/11c6tyv40z,Cleo,Topic,/g/11c6tyv40z,PASS,100,74.86,NOT_TESTED,,,PASS,/g/11c6tyv40z,pytrends: no category-keyword match; defaulted to first suggestion (type='Topic')
Tiller,finance,challenger,/g/11b64kk5vb,Tiller,Topic,/g/11b64kk5vb,PASS,100,41.57,NOT_TESTED,,,PASS,/g/11b64kk5vb,pytrends: no category-keyword match; defaulted to first suggestion (type='Topic')
