category,brand,founding_year,age_as_of_2026_01_01,primary_source_url,tie_breaker_source_url,notes
oliveoil,Bertolli,1865,161,https://www.bertolli.nl/en/about-bertolli/,https://oliveoil.bertolli.com/bertolli-olive-oil-history/,"Founded by Francesco Bertolli in Lucca, Tuscany. Brand ownership transferred multiple times (Unilever 1994, Grupo SOS/Deoleo 2008); brand-as-marketed year preserved per acquisition rule."
oliveoil,Brightland,2018,8,https://www.brightland.co/,https://fortune.com/2025/07/01/brightland-olive-oil-everyday-luxury-series-a/,Founded by Aishwarya Iyer; first products ALIVE and AWAKE.
oliveoil,California Olive Ranch,1998,28,https://www.californiaoliveranch.com/our-story,https://pitchbook.com/profiles/company/106843-51,Founded as a hobby project by a Barcelona-based family office; acquired by Cobram Estate 2026 (brand year preserved per acquisition rule).
oliveoil,Castillo de Canena,2003,23,https://www.castillodecanena.com/en/about-us/,https://www.aboutoliveoil.org/eva-castillo-de-canena,"Vañó family olive groves date to 1780; brand-as-marketed launched 2003 by Rosa and Francisco Vañó. NOTE: Olive Oil Lovers reports 2014 as 'formally founded'; this is a >2yr conflict resolved per Decision 6 by using the primary source (2003). Pre-2003 production was bulk oil, not consumer-branded premium."
oliveoil,Cobram Estate,1998,28,https://cobramestateolives.com.au/about/,https://cobramestate.com/our-story/,Founded by Rob McGavin and Paul Riordan in Australia. First grove planted 1998; commercial launch to market 2001 (≤2yr rule: use earlier year).
oliveoil,Colonna,1986,40,https://www.marinacolonna.it/,https://www.marinacolonna.it/production/,Estate has been in Colonna family since early 1800s; 'dal 1986' tagline on official site marks the brand-as-marketed founding. Marina Colonna inherited estate from father in 1996. APPROXIMATE — primary source uses tagline rather than explicit founding year.
oliveoil,Frantoio Muraglia,1940,86,https://www.frantoiomuraglia.it/en/the-muraglia-oil-mill/,https://www.oliveoilsitaly.com/producer/muraglia/,Five-generation family business; 'over 80 years' per oliveoilsitaly.com places founding ~1940s. APPROXIMATE — no source provides exact founding year for Savino Muraglia senior's mill. Estimated from generational arithmetic and 80yr+ reference.
oliveoil,Frescobaldi Laudemio,1988,38,https://www.frescobaldi.com/en/news-from-frescobaldi-world/laudemio-the-excellence-of-italian-oil,https://www.manicaretti.com/producers/frescobaldi,"Frescobaldi.com reports brand-as-marketed year 1988; consortium first bottling 1989 (Manicaretti, Olive Oil Professor, Biordi). 1-year conflict ≤2yr rule: use earlier year (1988). Consortium formed 1986 after 1985 frost; first commercial bottling 1988-1989."
oliveoil,Graza,2022,4,https://www.graza.co/,https://fortune.com/2024/04/22/brightland-olive-oil-founder-ceo-aishwarya-iyer/,Founded by Andrew Benin; viral squeeze-bottle DTC olive oil brand.
oliveoil,Kosterina,2020,6,https://www.kosterina.com/,https://www.delimarketnews.com/culture/kosterina-launches-greek-extra-virgin-olive-oil-in-all-sprouts-grocery-store-locations-across-us/,Founded by Katerina (Katina) Mountanos. Name is portmanteau of founder's name and husband's name (Kostas).
oliveoil,Lucini,1998,28,https://www.lucini.com/,https://cobramestateolives.com.au/about/,Founded by Bruno Bozzini in Italy; now part of Cobram Estate portfolio. Brand year preserved per acquisition rule.
oliveoil,Manni,2000,26,https://mannioil.com/pages/our-story,https://int.mannioil.com/about-manni,Founded by Armando Manni in Tuscany; trademark MANNI® Oil with 'Live Oil' methodology developed with University of Florence and CNR.
oliveoil,McEvoy Ranch,1990,36,https://www.mcevoyranch.com/,https://www.olivepress.us/,Nan Tucker McEvoy planted first olive trees on Marin County ranch in 1990. APPROXIMATE — primary source year confirmation pending; founded year inferred from McEvoy's biography and ranch establishment timeline.
