brand,cell,cascade_order,model,probe_text,response_text,recognized,timestamp,latency_s
Estée Lauder,A,1,claude-opus-4-5,Is the brand Estée Lauder commonly recognized as a skincare brand? Answer yes or no.,Yes,yes,2026-06-10T14:07:29.242506+00:00,6.583
Estée Lauder,A,1,claude-sonnet-4-5,Is the brand Estée Lauder commonly recognized as a skincare brand? Answer yes or no.,Yes.,yes,2026-06-10T14:07:24.857318+00:00,2.198
Estée Lauder,A,1,gemini-2.5-flash,Is the brand Estée Lauder commonly recognized as a skincare brand? Answer yes or no.,Yes.,yes,2026-06-10T14:07:25.986768+00:00,3.327
Estée Lauder,A,1,gemini-2.5-flash-lite,Is the brand Estée Lauder commonly recognized as a skincare brand? Answer yes or no.,Yes,yes,2026-06-10T14:07:23.362077+00:00,0.700
Estée Lauder,A,1,gpt-4o,Is the brand Estée Lauder commonly recognized as a skincare brand? Answer yes or no.,Yes.,yes,2026-06-10T14:07:24.215090+00:00,1.555
Estée Lauder,A,1,gpt-4o-mini,Is the brand Estée Lauder commonly recognized as a skincare brand? Answer yes or no.,Yes.,yes,2026-06-10T14:07:23.985710+00:00,1.326
Lancôme,A,2,claude-opus-4-5,Is the brand Lancôme commonly recognized as a skincare brand? Answer yes or no.,Yes,yes,2026-06-10T14:07:32.968334+00:00,9.606
Lancôme,A,2,claude-sonnet-4-5,Is the brand Lancôme commonly recognized as a skincare brand? Answer yes or no.,Yes.,yes,2026-06-10T14:07:35.993636+00:00,12.007
Lancôme,A,2,gemini-2.5-flash,Is the brand Lancôme commonly recognized as a skincare brand? Answer yes or no.,Yes.,yes,2026-06-10T14:07:27.257089+00:00,2.319
Lancôme,A,2,gemini-2.5-flash-lite,Is the brand Lancôme commonly recognized as a skincare brand? Answer yes or no.,Yes,yes,2026-06-10T14:07:26.348743+00:00,0.362
Lancôme,A,2,gpt-4o,Is the brand Lancôme commonly recognized as a skincare brand? Answer yes or no.,Yes.,yes,2026-06-10T14:07:24.938155+00:00,0.723
Lancôme,A,2,gpt-4o-mini,Is the brand Lancôme commonly recognized as a skincare brand? Answer yes or no.,Yes.,yes,2026-06-10T14:07:25.985576+00:00,1.128
La Mer,A,3,claude-opus-4-5,Is the brand La Mer commonly recognized as a skincare brand? Answer yes or no.,Yes,yes,2026-06-10T14:07:27.640371+00:00,1.653
La Mer,A,3,claude-sonnet-4-5,Is the brand La Mer commonly recognized as a skincare brand? Answer yes or no.,Yes,yes,2026-06-10T14:07:32.741401+00:00,6.394
La Mer,A,3,gemini-2.5-flash,Is the brand La Mer commonly recognized as a skincare brand? Answer yes or no.,Yes.,yes,2026-06-10T14:07:29.973646+00:00,1.907
La Mer,A,3,gemini-2.5-flash-lite,Is the brand La Mer commonly recognized as a skincare brand? Answer yes or no.,Yes,yes,2026-06-10T14:07:28.851094+00:00,0.453
La Mer,A,3,gpt-4o,Is the brand La Mer commonly recognized as a skincare brand? Answer yes or no.,Yes.,yes,2026-06-10T14:07:28.398204+00:00,1.141
La Mer,A,3,gpt-4o-mini,Is the brand La Mer commonly recognized as a skincare brand? Answer yes or no.,Yes.,yes,2026-06-10T14:07:28.066160+00:00,0.426
Sisley,A,4,claude-opus-4-5,Is the brand Sisley commonly recognized as a skincare brand? Answer yes or no.,Yes,yes,2026-06-10T14:07:30.281897+00:00,1.431
Sisley,A,4,claude-sonnet-4-5,Is the brand Sisley commonly recognized as a skincare brand? Answer yes or no.,Yes.,yes,2026-06-10T14:07:36.104393+00:00,6.862
Sisley,A,4,gemini-2.5-flash,Is the brand Sisley commonly recognized as a skincare brand? Answer yes or no.,Yes.,yes,2026-06-10T14:07:33.661931+00:00,2.757
Sisley,A,4,gemini-2.5-flash-lite,Is the brand Sisley commonly recognized as a skincare brand? Answer yes or no.,Yes,yes,2026-06-10T14:07:32.125478+00:00,1.027
Sisley,A,4,gpt-4o,Is the brand Sisley commonly recognized as a skincare brand? Answer yes or no.,Yes.,yes,2026-06-10T14:07:30.903922+00:00,0.930
Sisley,A,4,gpt-4o-mini,Is the brand Sisley commonly recognized as a skincare brand? Answer yes or no.,Yes.,yes,2026-06-10T14:07:31.098660+00:00,0.816
