brand,category,region,t1_n_days_total,t1_n_nonzero_days,t1_mean,t1_sd,t1_min,t1_max,t1_raw_mean,t1_raw_sd,t1_eligible_E1b,t1_raw_eligible,t1_sparse_E5,t2_n_days_total,t2_n_nonzero_days,t2_mean,t2_sd,t2_min,t2_max,t2_raw_mean,t2_raw_sd,t2_eligible_E1b,t2_raw_eligible,t2_sparse_E5
Adidas,running,worldwide,7,7,14.72,1.67,11.9,16.3,12.57,1.81,True,True,False,7,7,20.18,3.03,15.29,23.46,17.14,2.67,True,True,False
Adidas,running,US,7,7,25.1,1.52,23.0,27.16,21.57,1.62,True,True,False,7,7,31.45,5.97,23.17,40.48,27.57,6.05,True,True,False
Airtable,pmsoftware,worldwide,7,7,72.83,11.43,57.89,87.5,10.14,2.27,True,True,False,7,7,72.35,14.74,61.11,100.0,10,2.52,True,True,False
Airtable,pmsoftware,US,7,7,69.34,9.8,60.0,85.71,21.57,6.6,True,True,False,7,7,74.07,15.41,61.11,100.0,21.29,7.09,True,True,False
Altra,running,worldwide,7,7,1.18,0.11,1.0,1.32,1,0.0,True,False,False,7,7,1.18,0.07,1.05,1.25,1,0.0,True,False,False
Altra,running,US,7,7,3.33,0.47,2.47,3.7,2.86,0.38,True,True,False,7,7,3.45,0.23,3.09,3.66,3,0.0,True,False,False
Asana,pmsoftware,worldwide,7,7,100.0,0.0,100.0,100.0,23.71,8.36,False,True,False,7,7,100.0,0.0,100.0,100.0,24,8.49,False,True,False
Asana,pmsoftware,US,7,7,100.0,0.0,100.0,100.0,29.86,11.33,False,True,False,7,7,100.0,0.0,100.0,100.0,28.29,12.13,False,True,False
Asics,running,worldwide,7,7,100.0,0.0,100.0,100.0,85.43,8.3,False,True,False,7,7,100.0,0.0,100.0,100.0,85,5.32,False,True,False
Asics,running,US,7,7,100.0,0.0,100.0,100.0,86.14,7.69,False,True,False,7,7,100.0,0.0,100.0,100.0,87.29,6.07,False,True,False
Basecamp,pmsoftware,worldwide,7,7,23.67,6.2,18.75,32.56,17,2.71,True,True,False,7,7,22.25,5.19,18.18,31.58,16.29,3.5,True,True,False
Basecamp,pmsoftware,US,7,7,29.46,8.27,21.43,42.42,20.29,4.46,True,True,False,7,7,27.98,7.29,21.88,40.0,18.29,5.38,True,True,False
Bertolli,oliveoil,worldwide,7,7,150.96,15.2,134.33,168.89,80.86,8.51,True,True,False,7,7,158.46,30.24,124.59,204.26,88.14,9.55,True,True,False
Bertolli,oliveoil,US,7,7,79.27,7.39,68.0,88.06,62.14,7.2,True,True,False,7,7,80.55,16.62,55.81,98.68,65.14,10.67,True,True,False
Brightland,oliveoil,worldwide,7,7,57.14,21.21,33.33,100.0,1.29,0.49,True,True,False,7,7,61.9,26.73,33.33,100.0,1.29,0.49,True,True,False
Brightland,oliveoil,US,7,7,60.95,11.46,50.0,75.0,2.43,0.53,True,True,False,7,7,60.95,11.46,50.0,75.0,2.43,0.53,True,True,False
Brooks,running,worldwide,7,7,4.69,0.55,3.66,5.26,4,0.58,True,True,False,7,7,5.56,0.65,4.71,6.25,4.71,0.49,True,True,False
Brooks,running,US,7,7,16.53,0.91,15.48,18.0,14.29,1.98,True,True,False,7,7,17.53,1.24,15.29,19.28,15.29,1.25,True,True,False
California Olive Ranch,oliveoil,worldwide,7,7,100.0,0.0,100.0,100.0,54.14,8.88,False,True,False,7,7,100.0,0.0,100.0,100.0,56.43,5.35,False,True,False
California Olive Ranch,oliveoil,US,7,7,100.0,0.0,100.0,100.0,78.86,10.99,False,True,False,7,7,100.0,0.0,100.0,100.0,82,9.63,False,True,False
Castillo de Canena,oliveoil,worldwide,7,7,30.51,6.07,20.9,38.78,16.14,2.04,True,True,False,7,7,26.43,5.35,20.34,36.17,14.71,1.89,True,True,False
Castillo de Canena,oliveoil,US,7,0,0.0,0.0,0.0,0.0,0,0.0,False,False,True,7,0,0.0,0.0,0.0,0.0,0,0.0,False,False,True
ClickUp,pmsoftware,worldwide,7,7,118.78,7.09,110.53,127.78,17.14,5.46,True,True,False,7,7,114.25,8.56,105.26,128.57,16.57,5.74,True,True,False
ClickUp,pmsoftware,US,7,7,70.79,8.69,61.9,85.0,22.71,8.69,True,True,False,7,7,69.77,9.96,60.47,84.62,20.57,7.46,True,True,False
Cobram Estate,oliveoil,worldwide,7,7,129.79,31.26,89.55,175.56,68.14,7.76,True,True,False,7,7,123.97,12.78,103.39,136.54,69.57,6.08,True,True,False
Cobram Estate,oliveoil,US,7,7,35.74,7.26,25.61,48.65,27.86,4.95,True,True,False,7,7,32.55,5.17,28.41,43.42,26.57,4.24,True,True,False
Coda,pmsoftware,worldwide,7,7,15.09,5.78,10.42,25.0,10.43,0.79,True,True,False,7,7,15.25,7.24,10.1,27.5,10.29,0.76,True,True,False
Coda,pmsoftware,US,7,7,15.35,6.62,10.2,25.71,10,1.15,True,True,False,7,7,17.88,10.56,9.38,36.0,10.14,1.21,True,True,False
Confluence,pmsoftware,worldwide,7,7,100.44,15.09,75.0,113.79,24.86,11.13,True,True,False,7,7,102.66,13.32,83.33,112.9,25.57,10.94,True,True,False
Confluence,pmsoftware,US,7,7,88.34,12.89,69.23,100.0,27.57,12.61,True,True,False,7,7,98.79,6.65,90.0,106.06,28.43,12.75,True,True,False
Frantoio Muraglia,oliveoil,worldwide,7,7,33.69,3.61,26.87,36.96,18.14,3.02,True,True,False,7,7,39.49,7.26,29.51,47.27,22,2.65,True,True,False
Frantoio Muraglia,oliveoil,US,7,1,1.57,4.16,0.0,11.0,1.57,4.16,True,True,True,7,3,3.64,4.62,0.0,9.52,2.86,3.63,True,True,True
GitHub Projects,pmsoftware,worldwide,7,7,27.61,11.44,18.95,46.15,18.43,1.13,True,True,False,7,7,26.51,12.93,17.53,45.95,17.29,0.49,True,True,False
GitHub Projects,pmsoftware,US,7,7,14.24,6.18,9.41,23.53,9.57,1.62,True,True,False,7,7,14.47,9.37,8.42,32.0,8.29,0.95,True,True,False
Graza,oliveoil,worldwide,7,7,385.71,65.57,266.67,450.0,8.57,0.79,True,True,False,7,7,442.86,67.26,300.0,500.0,9.29,0.49,True,True,False
Graza,oliveoil,US,7,7,369.29,58.63,325.0,500.0,14.57,1.62,True,True,False,7,7,400.0,66.14,300.0,500.0,15.71,1.38,True,True,False
Height,pmsoftware,worldwide,7,0,0.0,0.0,0.0,0.0,0,0.0,False,False,True,7,2,1.97,3.37,0.0,7.14,0.29,0.49,True,True,True
Height,pmsoftware,US,7,0,0.0,0.0,0.0,0.0,0,0.0,False,False,True,7,2,1.1,2.21,0.0,5.88,0.29,0.49,True,True,True
Hoka,running,worldwide,7,7,6.53,5.69,2.63,15.38,5.43,4.5,True,True,False,7,7,3.23,1.01,2.11,4.94,2.71,0.76,True,True,False
Hoka,running,US,7,7,11.72,15.67,1.06,35.8,9.71,12.87,True,True,False,7,7,2.3,0.69,1.2,3.53,2,0.58,True,True,False
Jira,pmsoftware,worldwide,7,7,315.37,45.87,246.15,400.0,76,29.44,True,True,False,7,7,308.37,20.81,275.0,329.63,75.43,29.58,True,True,False
Jira,pmsoftware,US,7,7,230.14,36.05,153.85,263.16,71.57,32.22,True,True,False,7,7,232.53,29.4,190.0,262.86,68.57,33.05,True,True,False
Kosterina,oliveoil,worldwide,7,7,45.24,8.13,33.33,50.0,1,0.0,True,False,False,7,7,47.62,6.3,33.33,50.0,1,0.0,True,False,False
Kosterina,oliveoil,US,7,7,43.81,15.05,25.0,66.67,1.71,0.49,True,True,False,7,7,48.1,13.86,20.0,66.67,1.86,0.38,True,True,False
Linear,pmsoftware,worldwide,7,7,2.18,0.6,1.0,2.94,1.57,0.53,True,True,False,7,7,2.3,2.07,1.01,5.41,1.29,0.49,True,True,False
Linear,pmsoftware,US,7,7,1.75,0.93,1.0,2.94,1.14,0.38,True,True,False,7,7,1.81,1.28,1.0,4.0,1,0.0,True,False,False
Monday,pmsoftware,worldwide,7,7,75.0,10.96,63.33,96.67,17.86,7.34,True,True,False,7,7,71.13,12.03,58.33,96.3,17.43,7.32,True,True,False
Monday,pmsoftware,US,7,7,82.38,17.28,69.23,119.44,25.14,11.92,True,True,False,7,7,77.48,14.3,66.67,109.09,22.43,10.94,True,True,False
Motion,pmsoftware,worldwide,7,6,1.38,0.89,0.0,2.56,0.86,0.38,True,True,False,7,7,1.54,0.77,1.01,2.7,1,0.0,True,False,False
Motion,pmsoftware,US,7,4,0.88,1.06,0.0,2.94,0.57,0.53,True,True,False,7,0,0.0,0.0,0.0,0.0,0,0.0,False,False,True
