brand,category,region,bundle_id,date,wave,raw_value,pivot_raw_value,rescaled_value
Asana,pmsoftware,worldwide,1,2026-04-27,t1,30,30,100.0
Monday,pmsoftware,worldwide,1,2026-04-27,t1,29,30,96.67
Jira,pmsoftware,worldwide,1,2026-04-27,t1,97,30,323.33
Trello,pmsoftware,worldwide,1,2026-04-27,t1,57,30,190.0
Confluence,pmsoftware,worldwide,1,2026-04-27,t1,32,30,106.67
Asana,pmsoftware,worldwide,1,2026-04-28,t1,31,31,100.0
Monday,pmsoftware,worldwide,1,2026-04-28,t1,24,31,77.42
Jira,pmsoftware,worldwide,1,2026-04-28,t1,98,31,316.13
Trello,pmsoftware,worldwide,1,2026-04-28,t1,56,31,180.65
Confluence,pmsoftware,worldwide,1,2026-04-28,t1,34,31,109.68
Asana,pmsoftware,worldwide,1,2026-04-29,t1,30,30,100.0
Monday,pmsoftware,worldwide,1,2026-04-29,t1,19,30,63.33
Jira,pmsoftware,worldwide,1,2026-04-29,t1,96,30,320.0
Trello,pmsoftware,worldwide,1,2026-04-29,t1,55,30,183.33
Confluence,pmsoftware,worldwide,1,2026-04-29,t1,34,30,113.33
Asana,pmsoftware,worldwide,1,2026-04-30,t1,29,29,100.0
Monday,pmsoftware,worldwide,1,2026-04-30,t1,20,29,68.97
Jira,pmsoftware,worldwide,1,2026-04-30,t1,90,29,310.34
Trello,pmsoftware,worldwide,1,2026-04-30,t1,50,29,172.41
Confluence,pmsoftware,worldwide,1,2026-04-30,t1,33,29,113.79
Asana,pmsoftware,worldwide,1,2026-05-01,t1,21,21,100.0
Monday,pmsoftware,worldwide,1,2026-05-01,t1,14,21,66.67
Jira,pmsoftware,worldwide,1,2026-05-01,t1,84,21,400.0
Trello,pmsoftware,worldwide,1,2026-05-01,t1,38,21,180.95
Confluence,pmsoftware,worldwide,1,2026-05-01,t1,21,21,100.0
Asana,pmsoftware,worldwide,1,2026-05-02,t1,12,12,100.0
Monday,pmsoftware,worldwide,1,2026-05-02,t1,9,12,75.0
Jira,pmsoftware,worldwide,1,2026-05-02,t1,35,12,291.67
Trello,pmsoftware,worldwide,1,2026-05-02,t1,36,12,300.0
Confluence,pmsoftware,worldwide,1,2026-05-02,t1,9,12,75.0
Asana,pmsoftware,worldwide,1,2026-05-03,t1,13,13,100.0
Monday,pmsoftware,worldwide,1,2026-05-03,t1,10,13,76.92
Jira,pmsoftware,worldwide,1,2026-05-03,t1,32,13,246.15
Trello,pmsoftware,worldwide,1,2026-05-03,t1,36,13,276.92
Confluence,pmsoftware,worldwide,1,2026-05-03,t1,11,13,84.62
Asana,pmsoftware,worldwide,1,2026-05-04,t2,27,27,100.0
Monday,pmsoftware,worldwide,1,2026-05-04,t2,26,27,96.3
Jira,pmsoftware,worldwide,1,2026-05-04,t2,89,27,329.63
Trello,pmsoftware,worldwide,1,2026-05-04,t2,56,27,207.41
Confluence,pmsoftware,worldwide,1,2026-05-04,t2,29,27,107.41
Asana,pmsoftware,worldwide,1,2026-05-05,t2,31,31,100.0
Monday,pmsoftware,worldwide,1,2026-05-05,t2,23,31,74.19
Jira,pmsoftware,worldwide,1,2026-05-05,t2,99,31,319.35
Trello,pmsoftware,worldwide,1,2026-05-05,t2,57,31,183.87
Confluence,pmsoftware,worldwide,1,2026-05-05,t2,34,31,109.68
Asana,pmsoftware,worldwide,1,2026-05-06,t2,31,31,100.0
Monday,pmsoftware,worldwide,1,2026-05-06,t2,21,31,67.74
Jira,pmsoftware,worldwide,1,2026-05-06,t2,100,31,322.58
Trello,pmsoftware,worldwide,1,2026-05-06,t2,54,31,174.19
Confluence,pmsoftware,worldwide,1,2026-05-06,t2,35,31,112.9
Asana,pmsoftware,worldwide,1,2026-05-07,t2,30,30,100.0
Monday,pmsoftware,worldwide,1,2026-05-07,t2,20,30,66.67
Jira,pmsoftware,worldwide,1,2026-05-07,t2,95,30,316.67
Trello,pmsoftware,worldwide,1,2026-05-07,t2,53,30,176.67
Confluence,pmsoftware,worldwide,1,2026-05-07,t2,33,30,110.0
Asana,pmsoftware,worldwide,1,2026-05-08,t2,25,25,100.0
Monday,pmsoftware,worldwide,1,2026-05-08,t2,17,25,68.0
Jira,pmsoftware,worldwide,1,2026-05-08,t2,78,25,312.0
Trello,pmsoftware,worldwide,1,2026-05-08,t2,56,25,224.0
Confluence,pmsoftware,worldwide,1,2026-05-08,t2,28,25,112.0
Asana,pmsoftware,worldwide,1,2026-05-09,t2,12,12,100.0
Monday,pmsoftware,worldwide,1,2026-05-09,t2,7,12,58.33
Jira,pmsoftware,worldwide,1,2026-05-09,t2,33,12,275.0
Trello,pmsoftware,worldwide,1,2026-05-09,t2,34,12,283.33
Confluence,pmsoftware,worldwide,1,2026-05-09,t2,10,12,83.33
Asana,pmsoftware,worldwide,1,2026-05-10,t2,12,12,100.0
Monday,pmsoftware,worldwide,1,2026-05-10,t2,8,12,66.67
Jira,pmsoftware,worldwide,1,2026-05-10,t2,34,12,283.33
Trello,pmsoftware,worldwide,1,2026-05-10,t2,41,12,341.67
Confluence,pmsoftware,worldwide,1,2026-05-10,t2,10,12,83.33
Notion,pmsoftware,worldwide,2,2026-04-27,t1,94,18,522.22
ClickUp,pmsoftware,worldwide,2,2026-04-27,t1,23,18,127.78
Smartsheet,pmsoftware,worldwide,2,2026-04-27,t1,7,18,38.89
Airtable,pmsoftware,worldwide,2,2026-04-27,t1,12,18,66.67
Notion,pmsoftware,worldwide,2,2026-04-28,t1,92,19,484.21
ClickUp,pmsoftware,worldwide,2,2026-04-28,t1,21,19,110.53
Smartsheet,pmsoftware,worldwide,2,2026-04-28,t1,6,19,31.58
Airtable,pmsoftware,worldwide,2,2026-04-28,t1,11,19,57.89
Notion,pmsoftware,worldwide,2,2026-04-29,t1,89,18,494.44
ClickUp,pmsoftware,worldwide,2,2026-04-29,t1,21,18,116.67
Smartsheet,pmsoftware,worldwide,2,2026-04-29,t1,6,18,33.33
Airtable,pmsoftware,worldwide,2,2026-04-29,t1,12,18,66.67
Notion,pmsoftware,worldwide,2,2026-04-30,t1,84,18,466.67
ClickUp,pmsoftware,worldwide,2,2026-04-30,t1,20,18,111.11
Smartsheet,pmsoftware,worldwide,2,2026-04-30,t1,6,18,33.33
Airtable,pmsoftware,worldwide,2,2026-04-30,t1,12,18,66.67
Notion,pmsoftware,worldwide,2,2026-05-01,t1,71,13,546.15
ClickUp,pmsoftware,worldwide,2,2026-05-01,t1,15,13,115.38
Smartsheet,pmsoftware,worldwide,2,2026-05-01,t1,6,13,46.15
Airtable,pmsoftware,worldwide,2,2026-05-01,t1,10,13,76.92
Notion,pmsoftware,worldwide,2,2026-05-02,t1,63,8,787.5
ClickUp,pmsoftware,worldwide,2,2026-05-02,t1,10,8,125.0
Smartsheet,pmsoftware,worldwide,2,2026-05-02,t1,2,8,25.0
Airtable,pmsoftware,worldwide,2,2026-05-02,t1,7,8,87.5
Notion,pmsoftware,worldwide,2,2026-05-03,t1,66,8,825.0
ClickUp,pmsoftware,worldwide,2,2026-05-03,t1,10,8,125.0
Smartsheet,pmsoftware,worldwide,2,2026-05-03,t1,2,8,25.0
Airtable,pmsoftware,worldwide,2,2026-05-03,t1,7,8,87.5
Notion,pmsoftware,worldwide,2,2026-05-04,t2,87,18,483.33
ClickUp,pmsoftware,worldwide,2,2026-05-04,t2,22,18,122.22
Smartsheet,pmsoftware,worldwide,2,2026-05-04,t2,7,18,38.89
