analysis,row_label,col_label,count,denominator,percent
A_valence_x_slot,anthropic_opus,live_recommendation,1,48,2.08
A_valence_x_slot,anthropic_opus,live_with_caveat,18,48,37.5
A_valence_x_slot,anthropic_opus,status_correction,3,48,6.25
A_valence_x_slot,anthropic_opus,historical_reference,5,48,10.42
A_valence_x_slot,anthropic_opus,ambiguous,0,48,0.0
A_valence_x_slot,anthropic_opus,ERROR,0,48,0.0
A_valence_x_slot,anthropic_sonnet,live_recommendation,2,48,4.17
A_valence_x_slot,anthropic_sonnet,live_with_caveat,15,48,31.25
A_valence_x_slot,anthropic_sonnet,status_correction,1,48,2.08
A_valence_x_slot,anthropic_sonnet,historical_reference,2,48,4.17
A_valence_x_slot,anthropic_sonnet,ambiguous,0,48,0.0
A_valence_x_slot,anthropic_sonnet,ERROR,0,48,0.0
A_valence_x_slot,google_flash,live_recommendation,0,48,0.0
A_valence_x_slot,google_flash,live_with_caveat,7,48,14.58
A_valence_x_slot,google_flash,status_correction,0,48,0.0
A_valence_x_slot,google_flash,historical_reference,1,48,2.08
A_valence_x_slot,google_flash,ambiguous,0,48,0.0
A_valence_x_slot,google_flash,ERROR,0,48,0.0
A_valence_x_slot,openai_flagship,live_recommendation,2,48,4.17
A_valence_x_slot,openai_flagship,live_with_caveat,3,48,6.25
A_valence_x_slot,openai_flagship,status_correction,1,48,2.08
A_valence_x_slot,openai_flagship,historical_reference,1,48,2.08
A_valence_x_slot,openai_flagship,ambiguous,0,48,0.0
A_valence_x_slot,openai_flagship,ERROR,0,48,0.0
A_valence_x_slot,openai_mini,live_recommendation,0,48,0.0
A_valence_x_slot,openai_mini,live_with_caveat,6,48,12.5
A_valence_x_slot,openai_mini,status_correction,1,48,2.08
A_valence_x_slot,openai_mini,historical_reference,16,48,33.33
A_valence_x_slot,openai_mini,ambiguous,1,48,2.08
A_valence_x_slot,openai_mini,ERROR,0,48,0.0
A_valence_x_slot,xai_grok,live_recommendation,0,48,0.0
A_valence_x_slot,xai_grok,live_with_caveat,23,48,47.92
A_valence_x_slot,xai_grok,status_correction,1,48,2.08
A_valence_x_slot,xai_grok,historical_reference,0,48,0.0
A_valence_x_slot,xai_grok,ambiguous,0,48,0.0
A_valence_x_slot,xai_grok,ERROR,0,48,0.0
B_entity_x_slot,anthropic_opus,legacy_brand,21,27,77.78
B_entity_x_slot,anthropic_opus,both,6,27,22.22
B_entity_x_slot,anthropic_opus,corporate_parent,0,27,0.0
B_entity_x_slot,anthropic_opus,unclear,0,27,0.0
B_entity_x_slot,anthropic_opus,ERROR,0,27,0.0
B_entity_x_slot,anthropic_sonnet,legacy_brand,18,20,90.0
B_entity_x_slot,anthropic_sonnet,both,2,20,10.0
B_entity_x_slot,anthropic_sonnet,corporate_parent,0,20,0.0
B_entity_x_slot,anthropic_sonnet,unclear,0,20,0.0
B_entity_x_slot,anthropic_sonnet,ERROR,0,20,0.0
B_entity_x_slot,google_flash,legacy_brand,5,8,62.5
B_entity_x_slot,google_flash,both,3,8,37.5
B_entity_x_slot,google_flash,corporate_parent,0,8,0.0
B_entity_x_slot,google_flash,unclear,0,8,0.0
B_entity_x_slot,google_flash,ERROR,0,8,0.0
B_entity_x_slot,openai_flagship,legacy_brand,6,7,85.71
B_entity_x_slot,openai_flagship,both,1,7,14.29
B_entity_x_slot,openai_flagship,corporate_parent,0,7,0.0
B_entity_x_slot,openai_flagship,unclear,0,7,0.0
B_entity_x_slot,openai_flagship,ERROR,0,7,0.0
B_entity_x_slot,openai_mini,legacy_brand,23,24,95.83
B_entity_x_slot,openai_mini,both,0,24,0.0
B_entity_x_slot,openai_mini,corporate_parent,0,24,0.0
B_entity_x_slot,openai_mini,unclear,1,24,4.17
B_entity_x_slot,openai_mini,ERROR,0,24,0.0
B_entity_x_slot,xai_grok,legacy_brand,10,24,41.67
B_entity_x_slot,xai_grok,both,14,24,58.33
B_entity_x_slot,xai_grok,corporate_parent,0,24,0.0
B_entity_x_slot,xai_grok,unclear,0,24,0.0
B_entity_x_slot,xai_grok,ERROR,0,24,0.0
C_valence_x_cep,COMPARISON,live_recommendation,0,48,0.0
C_valence_x_cep,COMPARISON,live_with_caveat,2,48,4.17
C_valence_x_cep,COMPARISON,status_correction,0,48,0.0
C_valence_x_cep,COMPARISON,historical_reference,2,48,4.17
C_valence_x_cep,COMPARISON,ambiguous,0,48,0.0
C_valence_x_cep,COMPARISON,ERROR,0,48,0.0
C_valence_x_cep,CONSTRAINT_WITH,live_recommendation,2,48,4.17
C_valence_x_cep,CONSTRAINT_WITH,live_with_caveat,4,48,8.33
C_valence_x_cep,CONSTRAINT_WITH,status_correction,0,48,0.0
C_valence_x_cep,CONSTRAINT_WITH,historical_reference,0,48,0.0
C_valence_x_cep,CONSTRAINT_WITH,ambiguous,0,48,0.0
C_valence_x_cep,CONSTRAINT_WITH,ERROR,0,48,0.0
C_valence_x_cep,CONTEXTUAL_WHEN,live_recommendation,1,48,2.08
C_valence_x_cep,CONTEXTUAL_WHEN,live_with_caveat,19,48,39.58
C_valence_x_cep,CONTEXTUAL_WHEN,status_correction,2,48,4.17
C_valence_x_cep,CONTEXTUAL_WHEN,historical_reference,5,48,10.42
C_valence_x_cep,CONTEXTUAL_WHEN,ambiguous,0,48,0.0
C_valence_x_cep,CONTEXTUAL_WHEN,ERROR,0,48,0.0
C_valence_x_cep,DISCOVERY,live_recommendation,0,48,0.0
C_valence_x_cep,DISCOVERY,live_with_caveat,0,48,0.0
C_valence_x_cep,DISCOVERY,status_correction,0,48,0.0
C_valence_x_cep,DISCOVERY,historical_reference,0,48,0.0
C_valence_x_cep,DISCOVERY,ambiguous,0,48,0.0
C_valence_x_cep,DISCOVERY,ERROR,0,48,0.0
C_valence_x_cep,FUNCTIONAL_WHY,live_recommendation,2,48,4.17
C_valence_x_cep,FUNCTIONAL_WHY,live_with_caveat,29,48,60.42
C_valence_x_cep,FUNCTIONAL_WHY,status_correction,0,48,0.0
C_valence_x_cep,FUNCTIONAL_WHY,historical_reference,2,48,4.17
C_valence_x_cep,FUNCTIONAL_WHY,ambiguous,1,48,2.08
C_valence_x_cep,FUNCTIONAL_WHY,ERROR,0,48,0.0
C_valence_x_cep,IDENTITY_HOW_FEELING,live_recommendation,0,48,0.0
C_valence_x_cep,IDENTITY_HOW_FEELING,live_with_caveat,18,48,37.5
