category,bundle_id,bundle_label,region,members,queries,pull_timestamp_utc,http_status,timeline_points,status,raw_path,notes
pmsoftware,1,pm-incumbents,worldwide,Asana|Monday|Jira|Trello|Confluence,/m/0c3z_p8|/g/11h1m5p60w|/g/11bc5c0lmw|/m/0h665rh|/m/05nyz0,2026-05-11T10:33:22.535262+00:00,200,14,PASS,/Users/pablou/aias/osf/v12/data/trends_raw/worldwide/pmsoftware_bundle_1_2026-05-11T10-33-22.535262+00-00.json,pivot_min=12 pivot_max=31 pivot_mean=23.9
pmsoftware,2,pm-mid-tier-I,worldwide,Asana|Notion|ClickUp|Smartsheet|Airtable,/m/0c3z_p8|/g/11fd7dbddz|/g/11g9n26732|/m/010h7t67|/g/11c3ypc1q3,2026-05-11T10:33:22.535262+00:00,200,14,PASS,/Users/pablou/aias/osf/v12/data/trends_raw/worldwide/pmsoftware_bundle_2_2026-05-11T10-33-22.535262+00-00.json,pivot_min=7 pivot_max=19 pivot_mean=14.6
pmsoftware,3,pm-mid-tier-II,worldwide,Asana|Basecamp|Coda|Wrike|Workfront,/m/0c3z_p8|/m/0d04n6|/g/11f3h7_jw9|wrike|workfront,2026-05-11T10:33:22.535262+00:00,200,14,PASS,/Users/pablou/aias/osf/v12/data/trends_raw/worldwide/pmsoftware_bundle_3_2026-05-11T10-33-22.535262+00-00.json,pivot_min=38 pivot_max=100 pivot_mean=78.1
pmsoftware,4,pm-challengers,worldwide,Asana|Linear|Todoist|GitHub Projects|Motion,/m/0c3z_p8|linear project management|todoist|github projects|motion project management,2026-05-11T10:33:22.535262+00:00,200,14,PASS,/Users/pablou/aias/osf/v12/data/trends_raw/worldwide/pmsoftware_bundle_4_2026-05-11T10-33-22.535262+00-00.json,pivot_min=37 pivot_max=100 pivot_mean=76.3
pmsoftware,5,pm-remainder-padding,worldwide,Asana|Height|__pad_kanban|__pad_agile|__pad_scrum,/m/0c3z_p8|height project management|kanban|agile|scrum,2026-05-11T10:33:22.535262+00:00,200,14,PASS,/Users/pablou/aias/osf/v12/data/trends_raw/worldwide/pmsoftware_bundle_5_2026-05-11T10-33-22.535262+00-00.json,pivot_min=14 pivot_max=38 pivot_mean=29.6
oliveoil,1,oil-mixed-tier,worldwide,California Olive Ranch|Bertolli|Cobram Estate|Castillo de Canena|Frantoio Muraglia,/g/11cn92g97s|Bertolli olive oil|/g/11m9tx9srq|/g/11dxd55q7z|/g/11s888kbqf,2026-05-11T10:33:22.535262+00:00,200,14,PASS,/Users/pablou/aias/osf/v12/data/trends_raw/worldwide/oliveoil_bundle_1_2026-05-11T10-33-22.535262+00-00.json,pivot_min=45 pivot_max=67 pivot_mean=55.3
oliveoil,2,oil-challengers-padding,worldwide,California Olive Ranch|Brightland|Graza|Kosterina|__pad_olive_oil,/g/11cn92g97s|/g/11ng0dpbrv|/g/11tsqs7vvg|/g/11nntdmlgp|extra virgin olive oil,2026-05-11T10:33:22.535262+00:00,200,14,PASS,/Users/pablou/aias/osf/v12/data/trends_raw/worldwide/oliveoil_bundle_2_2026-05-11T10-33-22.535262+00-00.json,pivot_min=2 pivot_max=3 pivot_mean=2.2
running,1,run-incumbents,worldwide,Asics|Adidas|Brooks|New Balance|Nike,/m/04xxy1|Adidas running shoes|Brooks running shoes|New Balance running shoes|Nike running shoes,2026-05-11T10:33:22.535262+00:00,200,14,PASS,/Users/pablou/aias/osf/v12/data/trends_raw/worldwide/running_bundle_1_2026-05-11T10-33-22.535262+00-00.json,pivot_min=76 pivot_max=100 pivot_mean=85.2
running,2,run-mid-tier-mixed,worldwide,Asics|Puma|Saucony|Altra|Hoka,/m/04xxy1|Puma running shoes|/m/06brvd|Altra running shoes|/m/0_qhc0d,2026-05-11T10:33:22.535262+00:00,200,14,PASS,/Users/pablou/aias/osf/v12/data/trends_raw/worldwide/running_bundle_2_2026-05-11T10-33-22.535262+00-00.json,pivot_min=76 pivot_max=100 pivot_mean=85.2
running,3,run-challengers,worldwide,Asics|Norda|On|Salomon|Topo Athletic,/m/04xxy1|/g/11w7d4p3c3|On Cloud running shoes|Salomon running shoes|/g/11c6tz2y63,2026-05-11T10:33:22.535262+00:00,200,14,PASS,/Users/pablou/aias/osf/v12/data/trends_raw/worldwide/running_bundle_3_2026-05-11T10-33-22.535262+00-00.json,pivot_min=76 pivot_max=100 pivot_mean=85.2
