brand,cell,cascade_order,model,probe_text,response_text,recognized,timestamp,latency_s
MAC Cosmetics,A,1,claude-opus-4-5,Is the brand MAC Cosmetics commonly recognized as a cosmetics brand? Answer yes or no.,Yes,yes,2026-06-10T14:10:59.799509+00:00,7.519
MAC Cosmetics,A,1,claude-sonnet-4-5,Is the brand MAC Cosmetics commonly recognized as a cosmetics brand? Answer yes or no.,Yes.,yes,2026-06-10T14:11:02.752661+00:00,10.472
MAC Cosmetics,A,1,gemini-2.5-flash,Is the brand MAC Cosmetics commonly recognized as a cosmetics brand? Answer yes or no.,Yes.,yes,2026-06-10T14:10:54.339229+00:00,2.058
MAC Cosmetics,A,1,gemini-2.5-flash-lite,Is the brand MAC Cosmetics commonly recognized as a cosmetics brand? Answer yes or no.,Yes,yes,2026-06-10T14:10:52.967581+00:00,0.685
MAC Cosmetics,A,1,gpt-4o,Is the brand MAC Cosmetics commonly recognized as a cosmetics brand? Answer yes or no.,Yes.,yes,2026-06-10T14:10:53.490702+00:00,1.208
MAC Cosmetics,A,1,gpt-4o-mini,Is the brand MAC Cosmetics commonly recognized as a cosmetics brand? Answer yes or no.,Yes.,yes,2026-06-10T14:10:53.210015+00:00,0.929
NARS,A,2,claude-opus-4-5,Is the brand NARS commonly recognized as a cosmetics brand? Answer yes or no.,Yes,yes,2026-06-10T14:10:58.734959+00:00,5.769
NARS,A,2,claude-sonnet-4-5,Is the brand NARS commonly recognized as a cosmetics brand? Answer yes or no.,Yes.,yes,2026-06-10T14:11:00.415512+00:00,7.202
NARS,A,2,gemini-2.5-flash,Is the brand NARS commonly recognized as a cosmetics brand? Answer yes or no.,Yes,yes,2026-06-10T14:10:56.737883+00:00,2.399
NARS,A,2,gemini-2.5-flash-lite,Is the brand NARS commonly recognized as a cosmetics brand? Answer yes or no.,Yes,yes,2026-06-10T14:10:55.114387+00:00,0.385
NARS,A,2,gpt-4o,Is the brand NARS commonly recognized as a cosmetics brand? Answer yes or no.,Yes.,yes,2026-06-10T14:10:54.200562+00:00,0.711
NARS,A,2,gpt-4o-mini,Is the brand NARS commonly recognized as a cosmetics brand? Answer yes or no.,Yes.,yes,2026-06-10T14:10:54.729016+00:00,0.528
Bobbi Brown,A,3,claude-opus-4-5,Is the brand Bobbi Brown commonly recognized as a cosmetics brand? Answer yes or no.,Yes,yes,2026-06-10T14:10:56.738928+00:00,1.625
Bobbi Brown,A,3,claude-sonnet-4-5,Is the brand Bobbi Brown commonly recognized as a cosmetics brand? Answer yes or no.,Yes,yes,2026-06-10T14:10:58.259084+00:00,1.522
Bobbi Brown,A,3,gemini-2.5-flash,Is the brand Bobbi Brown commonly recognized as a cosmetics brand? Answer yes or no.,Yes.,yes,2026-06-10T14:10:59.829058+00:00,1.580
Bobbi Brown,A,3,gemini-2.5-flash-lite,Is the brand Bobbi Brown commonly recognized as a cosmetics brand? Answer yes or no.,Yes,yes,2026-06-10T14:10:58.677060+00:00,0.417
