session_timestamp,region,bundle_id,bundle_label,http_status,n_attempts,error,out_path
2026-05-17T00:52:02.426868+00:00,worldwide,1,japanese,200,1,,/Users/pablou/aias/osf/v16/data/trends_raw/worldwide/kitchen_knives_bundle_1_2026-05-17T00-52-02.json
2026-05-17T00:52:02.426868+00:00,worldwide,2,japanese-german,200,1,,/Users/pablou/aias/osf/v16/data/trends_raw/worldwide/kitchen_knives_bundle_2_2026-05-17T00-52-02.json
2026-05-17T00:52:02.426868+00:00,worldwide,3,german-french,200,1,,/Users/pablou/aias/osf/v16/data/trends_raw/worldwide/kitchen_knives_bundle_3_2026-05-17T00-52-02.json
2026-05-17T00:52:02.426868+00:00,worldwide,4,french-american,200,1,,/Users/pablou/aias/osf/v16/data/trends_raw/worldwide/kitchen_knives_bundle_4_2026-05-17T00-52-02.json
2026-05-17T00:52:02.426868+00:00,worldwide,5,american,200,1,,/Users/pablou/aias/osf/v16/data/trends_raw/worldwide/kitchen_knives_bundle_5_2026-05-17T00-52-02.json
2026-05-17T00:52:02.426868+00:00,worldwide,6,chinese,200,1,,/Users/pablou/aias/osf/v16/data/trends_raw/worldwide/kitchen_knives_bundle_6_2026-05-17T00-52-02.json
2026-05-17T00:52:02.426868+00:00,US,1,japanese,200,1,,/Users/pablou/aias/osf/v16/data/trends_raw/US/kitchen_knives_bundle_1_2026-05-17T00-52-02.json
2026-05-17T00:52:02.426868+00:00,US,2,japanese-german,200,1,,/Users/pablou/aias/osf/v16/data/trends_raw/US/kitchen_knives_bundle_2_2026-05-17T00-52-02.json
2026-05-17T00:52:02.426868+00:00,US,3,german-french,200,1,,/Users/pablou/aias/osf/v16/data/trends_raw/US/kitchen_knives_bundle_3_2026-05-17T00-52-02.json
2026-05-17T00:52:02.426868+00:00,US,4,french-american,200,1,,/Users/pablou/aias/osf/v16/data/trends_raw/US/kitchen_knives_bundle_4_2026-05-17T00-52-02.json
2026-05-17T00:52:02.426868+00:00,US,5,american,200,1,,/Users/pablou/aias/osf/v16/data/trends_raw/US/kitchen_knives_bundle_5_2026-05-17T00-52-02.json
2026-05-17T00:52:02.426868+00:00,US,6,chinese,200,1,,/Users/pablou/aias/osf/v16/data/trends_raw/US/kitchen_knives_bundle_6_2026-05-17T00-52-02.json
