hypothesis,attribute,value
H1,hypothesis,H1
H1,claim,Japanese aggregate Presence < German aggregate by >= 15pp
H1,thresholds.CONFIRMED,""">=15pp"""
H1,thresholds.PARTIAL,"""5-15pp"""
H1,thresholds.DISCONFIRMED,"""<5pp or jp >= de"""
H1,jp_v10_locked,36.2
H1,jp_v11_published,25.7
H1,german_aggregate,27.2
H1,gap_v10,-9.0
H1,gap_v11,1.5
H1,band_v10,DISCONFIRMED
H1,band_v11,DISCONFIRMED
H1,note,"Both registry versions disconfirm in the same direction. v1.1 expansion brought aggregates closer (jp=25.7%, de=27.2%) because the 5 added boundary-condition Japanese brands diluted the Japanese mean."
H2,hypothesis,H2
H2,claim,Japanese aggregate < American aggregate by >= 10pp
H2,thresholds.CONFIRMED,""">=10pp"""
H2,thresholds.PARTIAL,"""0-10pp"""
H2,thresholds.DISCONFIRMED,"""jp >= us"""
H2,japanese_aggregate,25.7
H2,american_aggregate,0.6
H2,gap,-25.1
H2,band,CANNOT EVALUATE
H2,note,"American comparator collapsed (aggregate <5%). The AI does not recognize ""American kitchen knives"" as a category at all, regardless of brand. This is itself a finding - AI Presence is shaped by category discourse history rather than just by language-of-marketing."
H3,hypothesis,H3
H3,claim,Mass-market Japanese >> Traditional Japanese by >= 30pp
H3,thresholds.CONFIRMED,""">=30pp"""
H3,thresholds.PARTIAL,"""15-30pp"""
H3,thresholds.DISCONFIRMED,"""<15pp"""
H3,mass_market_mean,55.2
H3,traditional_mean_v10_locked,10.9
H3,traditional_mean_v11_expanded,9.6
H3,gap,44.3
H3,gap_v11,45.6
H3,band,CONFIRMED
H3,note,Within-Japanese English-marketing exposure predicts Presence by ~5x ratio. This is the cleanest controlled test in the dataset.
H4,hypothesis,H4
H4,claim,Japanese aggregate peaks in p3 vs lineage-neutral baseline by >= 1.5x
H4,thresholds.CONFIRMED,""">=1.5x"""
H4,thresholds.PARTIAL,"""1.2-1.5x"""
H4,thresholds.PARTIAL_LOW,"""1.0-1.2x"""
H4,thresholds.DISCONFIRMED,"""<1.0x"""
H4,p3_japanese,30.8
H4,baseline_japanese_p1_p4_p6,31.0
H4,ratio,0.99
H4,band,DISCONFIRMED
H4,per_cep_lineage_aggregates.p1_functional,"{""japanese"": 14.1, ""german"": 30.0, ""american"": 0.8, ""japanese_hybrid"": 4.2}"
H4,per_cep_lineage_aggregates.p2_contextual,"{""japanese"": 25.2, ""german"": 41.7, ""american"": 1.2, ""japanese_hybrid"": 39.6}"
H4,per_cep_lineage_aggregates.p3_constraint,"{""japanese"": 30.8, ""german"": 1.7, ""american"": 0.0, ""japanese_hybrid"": 31.2}"
H4,per_cep_lineage_aggregates.p4_identity,"{""japanese"": 54.6, ""german"": 45.8, ""american"": 0.0, ""japanese_hybrid"": 50.0}"
H4,per_cep_lineage_aggregates.p5_discovery,"{""japanese"": 5.1, ""german"": 0.8, ""american"": 0.0, ""japanese_hybrid"": 0.0}"
H4,per_cep_lineage_aggregates.p6_comparison,"{""japanese"": 24.4, ""german"": 43.3, ""american"": 1.2, ""japanese_hybrid"": 64.6}"
