brand,cell,cascade_order,model,probe_text,response_text,recognized,timestamp,latency_s
MAC Cosmetics,A,1,claude-opus-4-5,Is the brand MAC Cosmetics commonly recognized as a cosmetics brand? Answer yes or no.,Yes,yes,2026-05-22T20:09:17.522763+00:00,2.721
MAC Cosmetics,A,1,claude-sonnet-4-5,Is the brand MAC Cosmetics commonly recognized as a cosmetics brand? Answer yes or no.,Yes.,yes,2026-05-22T20:09:18.320613+00:00,3.519
MAC Cosmetics,A,1,gemini-2.5-flash,Is the brand MAC Cosmetics commonly recognized as a cosmetics brand? Answer yes or no.,Yes.,yes,2026-05-22T20:09:18.644905+00:00,3.843
MAC Cosmetics,A,1,gemini-2.5-flash-lite,Is the brand MAC Cosmetics commonly recognized as a cosmetics brand? Answer yes or no.,Yes,yes,2026-05-22T20:09:17.272509+00:00,2.470
MAC Cosmetics,A,1,gpt-4o,Is the brand MAC Cosmetics commonly recognized as a cosmetics brand? Answer yes or no.,Yes.,yes,2026-05-22T20:09:19.041065+00:00,4.239
MAC Cosmetics,A,1,gpt-4o-mini,Is the brand MAC Cosmetics commonly recognized as a cosmetics brand? Answer yes or no.,Yes.,yes,2026-05-22T20:09:19.204738+00:00,4.403
NARS,A,2,claude-opus-4-5,Is the brand NARS commonly recognized as a cosmetics brand? Answer yes or no.,Yes,yes,2026-05-22T20:09:19.039752+00:00,1.764
NARS,A,2,claude-sonnet-4-5,Is the brand NARS commonly recognized as a cosmetics brand? Answer yes or no.,Yes.,yes,2026-05-22T20:09:19.475479+00:00,1.953
NARS,A,2,gemini-2.5-flash,Is the brand NARS commonly recognized as a cosmetics brand? Answer yes or no.,Yes.,yes,2026-05-22T20:09:21.056726+00:00,2.018
NARS,A,2,gemini-2.5-flash-lite,Is the brand NARS commonly recognized as a cosmetics brand? Answer yes or no.,Yes,yes,2026-05-22T20:09:19.574064+00:00,0.533
NARS,A,2,gpt-4o,Is the brand NARS commonly recognized as a cosmetics brand? Answer yes or no.,Yes.,yes,2026-05-22T20:09:19.039956+00:00,0.720
NARS,A,2,gpt-4o-mini,Is the brand NARS commonly recognized as a cosmetics brand? Answer yes or no.,Yes.,yes,2026-05-22T20:09:19.546807+00:00,0.901
Bobbi Brown,A,3,claude-opus-4-5,Is the brand Bobbi Brown commonly recognized as a cosmetics brand? Answer yes or no.,Yes,yes,2026-05-22T20:09:20.800239+00:00,1.758
Bobbi Brown,A,3,claude-sonnet-4-5,Is the brand Bobbi Brown commonly recognized as a cosmetics brand? Answer yes or no.,Yes.,yes,2026-05-22T20:09:20.530798+00:00,1.326
Bobbi Brown,A,3,gemini-2.5-flash,Is the brand Bobbi Brown commonly recognized as a cosmetics brand? Answer yes or no.,Yes,yes,2026-05-22T20:09:21.462993+00:00,1.888
Bobbi Brown,A,3,gemini-2.5-flash-lite,Is the brand Bobbi Brown commonly recognized as a cosmetics brand? Answer yes or no.,Yes,yes,2026-05-22T20:09:20.742821+00:00,0.680
Bobbi Brown,A,3,gpt-4o,Is the brand Bobbi Brown commonly recognized as a cosmetics brand? Answer yes or no.,Yes.,yes,2026-05-22T20:09:20.062657+00:00,0.587
Bobbi Brown,A,3,gpt-4o-mini,Is the brand Bobbi Brown commonly recognized as a cosmetics brand? Answer yes or no.,Yes.,yes,2026-05-22T20:09:21.267679+00:00,1.721
