bundle_id,bundle_label,region,members,queries,pull_timestamp_utc,http_status,timeline_points,status,raw_path,notes
1,incumbents,worldwide,Asana|Monday|Jira|Trello|Confluence,/m/0c3z_p8|/g/11h1m5p60w|/g/11bc5c0lmw|/m/0h665rh|/m/05nyz0,2026-05-10T11:59:43.459987+00:00,200,14,PASS,/Users/pablou/aias/osf/v11/data/trends_raw/worldwide/bundle_1_2026-05-10T11-59-43.459987+00-00.json,pivot_min=11 pivot_max=32 pivot_mean=23.9
2,mid-tier-I,worldwide,Asana|Notion|ClickUp|Smartsheet|Airtable,/m/0c3z_p8|/g/11fd7dbddz|/g/11g9n26732|/m/010h7t67|/g/11c3ypc1q3,2026-05-10T11:59:43.459987+00:00,200,14,PASS,/Users/pablou/aias/osf/v11/data/trends_raw/worldwide/bundle_2_2026-05-10T11-59-43.459987+00-00.json,pivot_min=7 pivot_max=20 pivot_mean=14.7
3,mid-tier-II,worldwide,Asana|Basecamp|Coda|Wrike|Workfront,/m/0c3z_p8|/m/0d04n6|/g/11f3h7_jw9|wrike|workfront,2026-05-10T11:59:43.459987+00:00,200,14,PASS,/Users/pablou/aias/osf/v11/data/trends_raw/worldwide/bundle_3_2026-05-10T11-59-43.459987+00-00.json,pivot_min=36 pivot_max=100 pivot_mean=74.6
4,challengers,worldwide,Asana|Linear|Todoist|GitHub Projects|Motion,/m/0c3z_p8|linear project management|todoist|github projects|motion project management,2026-05-10T11:59:43.459987+00:00,200,14,PASS,/Users/pablou/aias/osf/v11/data/trends_raw/worldwide/bundle_4_2026-05-10T11-59-43.459987+00-00.json,pivot_min=34 pivot_max=100 pivot_mean=74.4
5,remainder-padding,worldwide,Asana|Height|__padding_kanban|__padding_agile|__padding_scrum,/m/0c3z_p8|height project management|kanban|agile|scrum,2026-05-10T11:59:43.459987+00:00,200,14,PASS,/Users/pablou/aias/osf/v11/data/trends_raw/worldwide/bundle_5_2026-05-10T11-59-43.459987+00-00.json,pivot_min=14 pivot_max=40 pivot_mean=30.1
1,incumbents,US,Asana|Monday|Jira|Trello|Confluence,/m/0c3z_p8|/g/11h1m5p60w|/g/11bc5c0lmw|/m/0h665rh|/m/05nyz0,2026-05-10T11:59:43.459987+00:00,200,14,PASS,/Users/pablou/aias/osf/v11/data/trends_raw/US/bundle_1_2026-05-10T11-59-43.459987+00-00.json,pivot_min=10 pivot_max=38 pivot_mean=28.1
2,mid-tier-I,US,Asana|Notion|ClickUp|Smartsheet|Airtable,/m/0c3z_p8|/g/11fd7dbddz|/g/11g9n26732|/m/010h7t67|/g/11c3ypc1q3,2026-05-10T11:59:43.459987+00:00,200,14,PASS,/Users/pablou/aias/osf/v11/data/trends_raw/US/bundle_2_2026-05-10T11-59-43.459987+00-00.json,pivot_min=11 pivot_max=42 pivot_mean=31.3
3,mid-tier-II,US,Asana|Basecamp|Coda|Wrike|Workfront,/m/0c3z_p8|/m/0d04n6|/g/11f3h7_jw9|wrike|workfront,2026-05-10T11:59:43.459987+00:00,200,14,PASS,/Users/pablou/aias/osf/v11/data/trends_raw/US/bundle_3_2026-05-10T11-59-43.459987+00-00.json,pivot_min=26 pivot_max=100 pivot_mean=73.6
4,challengers,US,Asana|Linear|Todoist|GitHub Projects|Motion,/m/0c3z_p8|linear project management|todoist|github projects|motion project management,2026-05-10T11:59:43.459987+00:00,200,14,PASS,/Users/pablou/aias/osf/v11/data/trends_raw/US/bundle_4_2026-05-10T11-59-43.459987+00-00.json,pivot_min=26 pivot_max=100 pivot_mean=74.1
5,remainder-padding,US,Asana|Height|__padding_kanban|__padding_agile|__padding_scrum,/m/0c3z_p8|height project management|kanban|agile|scrum,2026-05-10T11:59:43.459987+00:00,200,14,PASS,/Users/pablou/aias/osf/v11/data/trends_raw/US/bundle_5_2026-05-10T11-59-43.459987+00-00.json,pivot_min=15 pivot_max=56 pivot_mean=41.5
