brand,category,region,t1_n_days_total,t1_n_nonzero_days,t1_mean,t1_sd,t1_min,t1_max,t1_raw_mean,t1_raw_sd,t1_eligible_E1b,t1_raw_eligible,t1_sparse_E5,t2_n_days_total,t2_n_nonzero_days,t2_mean,t2_sd,t2_min,t2_max,t2_raw_mean,t2_raw_sd,t2_eligible_E1b,t2_raw_eligible,t2_sparse_E5
Augustinus Bader,skincare,worldwide,7,7,1.52,0.44,1.2,2.5,1.14,0.38,True,True,False,7,7,1.27,0.13,1.0,1.41,1,0.0,True,False,False
Augustinus Bader,skincare,US,7,7,2.35,0.34,2.04,3.06,2.14,0.38,True,True,False,7,7,2.2,0.16,2.0,2.5,2,0.0,True,False,False
Aveeno,skincare,worldwide,7,7,17.6,1.08,15.66,18.92,13.14,0.69,True,True,False,7,7,18.59,6.81,15.58,34.0,15.29,8.26,True,True,False
Aveeno,skincare,US,7,7,20.9,1.33,19.57,22.89,19,1.53,True,True,False,7,7,20.73,1.58,19.35,23.75,18.86,0.9,True,True,False
Avène,skincare,worldwide,7,7,42.51,3.09,37.5,46.48,31.71,1.11,True,True,False,7,7,39.63,4.06,33.0,45.45,31.29,2.87,True,True,False
Avène,skincare,US,7,7,10.87,0.78,10.11,12.05,9.86,0.38,True,True,False,7,7,10.22,0.95,9.0,11.25,9.29,0.49,True,True,False
Beauty of Joseon,skincare,worldwide,7,7,24.28,1.44,22.22,26.32,18.43,1.4,True,True,False,7,7,23.23,2.57,18.0,26.39,18.29,0.49,True,True,False
Beauty of Joseon,skincare,US,7,7,16.25,0.89,14.44,17.28,14.43,1.13,True,True,False,7,7,15.5,1.45,13.83,18.28,14.14,1.46,True,True,False
Bioderma,skincare,worldwide,7,7,42.87,3.68,38.37,47.89,32.43,1.27,True,True,False,7,7,41.14,4.56,33.0,48.65,32.43,1.9,True,True,False
Bioderma,skincare,US,7,7,6.29,0.63,5.56,7.41,5.57,0.53,True,True,False,7,7,6.28,0.67,5.32,6.98,5.71,0.49,True,True,False
CeraVe,skincare,worldwide,7,7,100.0,0.0,100.0,100.0,67,4.4,False,True,False,7,7,100.0,0.0,100.0,100.0,71.71,10.47,False,True,False
CeraVe,skincare,US,7,7,100.0,0.0,100.0,100.0,88.86,6.07,False,True,False,7,7,100.0,0.0,100.0,100.0,91.29,4.92,False,True,False
Cetaphil,skincare,worldwide,7,7,4.49,0.29,4.05,4.84,3,0.0,True,False,False,7,7,4.25,0.5,3.16,4.62,3,0.0,True,False,False
Cetaphil,skincare,US,7,7,2.26,0.16,2.08,2.5,2,0.0,True,False,False,7,7,2.2,0.12,2.0,2.33,2,0.0,True,False,False
Cleo,finance,worldwide,7,7,36.38,3.4,30.0,40.0,5.57,0.53,True,True,False,7,7,41.68,5.29,33.33,50.0,5.43,0.53,True,True,False
Cleo,finance,US,7,0,0.0,0.0,0.0,0.0,0,0.0,False,False,True,7,0,0.0,0.0,0.0,0.0,0,0.0,False,False,True
Clinique,skincare,worldwide,7,7,38.71,1.82,35.53,41.25,29.43,2.64,True,True,False,7,7,36.99,4.05,29.0,41.67,29.14,1.57,True,True,False
Clinique,skincare,US,7,7,42.96,4.56,35.87,47.31,38.14,4.67,True,True,False,7,7,41.56,2.7,38.3,46.0,38,4.12,True,True,False
Copilot,finance,worldwide,7,7,1034.52,437.17,550.0,1666.67,65.43,24.86,True,True,False,7,7,946.67,211.06,680.0,1260.0,51.43,13.56,True,True,False
Copilot,finance,US,7,7,260.94,115.62,125.0,408.7,66.86,26.97,True,True,False,7,7,238.93,73.42,144.44,336.0,55.43,20.78,True,True,False
Dermalogica,skincare,worldwide,7,7,8.11,0.59,6.98,8.75,6.14,0.38,True,True,False,7,7,7.76,0.44,7.0,8.33,6.14,0.38,True,True,False
Dermalogica,skincare,US,7,7,12.27,1.21,11.11,14.81,10.86,0.69,True,True,False,7,7,11.61,1.09,10.75,13.95,10.57,0.79,True,True,False
Drunk Elephant,skincare,worldwide,7,7,4.15,0.46,3.49,5.0,3.14,0.38,True,True,False,7,7,3.81,0.39,3.0,4.17,3,0.0,True,False,False
Drunk Elephant,skincare,US,7,7,7.24,0.83,5.75,8.51,6.29,0.95,True,True,False,7,7,6.62,0.66,5.75,7.69,6,0.82,True,True,False
EltaMD,skincare,worldwide,7,7,4.92,0.8,3.49,5.63,3.71,0.49,True,True,False,7,7,4.36,0.84,3.0,5.41,3.43,0.53,True,True,False
EltaMD,skincare,US,7,7,16.12,0.94,15.05,17.5,14.29,0.49,True,True,False,7,7,15.22,1.18,13.83,16.67,13.86,0.69,True,True,False
Empower,finance,worldwide,7,7,542.71,126.17,378.57,725.0,75.14,14.84,True,True,False,7,7,608.46,132.87,390.0,727.27,72.86,19.44,True,True,False
Empower,finance,US,7,7,783.39,177.18,511.11,962.5,69.14,16.04,True,True,False,7,7,849.29,173.13,566.67,1025.0,67.86,19.35,True,True,False
Estée Lauder,skincare,worldwide,7,7,7.31,1.85,5.26,10.53,5.57,1.51,True,True,False,7,7,5.97,0.77,5.0,6.76,4.71,0.49,True,True,False
Estée Lauder,skincare,US,7,7,7.35,2.36,5.21,12.5,6.43,1.62,True,True,False,7,7,7.07,1.03,5.38,8.14,6.43,0.79,True,True,False
Eucerin,skincare,worldwide,7,7,19.07,1.45,16.28,20.83,14.43,0.53,True,True,False,7,7,17.58,1.83,14.0,18.99,13.86,0.69,True,True,False
Eucerin,skincare,US,7,7,49.18,2.29,44.68,51.22,42.57,1.62,True,True,False,7,7,46.73,2.71,44.0,50.6,42.14,1.21,True,True,False
