brand,category,region,bundle_id,date,wave,raw_value,pivot_raw_value,rescaled_value
CeraVe,skincare,worldwide,1,2026-04-27,t1,67,67,100.0
Cetaphil,skincare,worldwide,1,2026-04-27,t1,3,67,4.48
Neutrogena,skincare,worldwide,1,2026-04-27,t1,3,67,4.48
La Roche-Posay,skincare,worldwide,1,2026-04-27,t1,83,67,123.88
Vanicream,skincare,worldwide,1,2026-04-27,t1,0,67,0.0
CeraVe,skincare,worldwide,1,2026-04-28,t1,63,63,100.0
Cetaphil,skincare,worldwide,1,2026-04-28,t1,3,63,4.76
Neutrogena,skincare,worldwide,1,2026-04-28,t1,3,63,4.76
La Roche-Posay,skincare,worldwide,1,2026-04-28,t1,79,63,125.4
Vanicream,skincare,worldwide,1,2026-04-28,t1,0,63,0.0
CeraVe,skincare,worldwide,1,2026-04-29,t1,62,62,100.0
Cetaphil,skincare,worldwide,1,2026-04-29,t1,3,62,4.84
Neutrogena,skincare,worldwide,1,2026-04-29,t1,3,62,4.84
La Roche-Posay,skincare,worldwide,1,2026-04-29,t1,80,62,129.03
Vanicream,skincare,worldwide,1,2026-04-29,t1,0,62,0.0
CeraVe,skincare,worldwide,1,2026-04-30,t1,64,64,100.0
Cetaphil,skincare,worldwide,1,2026-04-30,t1,3,64,4.69
Neutrogena,skincare,worldwide,1,2026-04-30,t1,4,64,6.25
La Roche-Posay,skincare,worldwide,1,2026-04-30,t1,72,64,112.5
Vanicream,skincare,worldwide,1,2026-04-30,t1,0,64,0.0
CeraVe,skincare,worldwide,1,2026-05-01,t1,68,68,100.0
Cetaphil,skincare,worldwide,1,2026-05-01,t1,3,68,4.41
Neutrogena,skincare,worldwide,1,2026-05-01,t1,3,68,4.41
La Roche-Posay,skincare,worldwide,1,2026-05-01,t1,76,68,111.76
Vanicream,skincare,worldwide,1,2026-05-01,t1,0,68,0.0
CeraVe,skincare,worldwide,1,2026-05-02,t1,74,74,100.0
Cetaphil,skincare,worldwide,1,2026-05-02,t1,3,74,4.05
Neutrogena,skincare,worldwide,1,2026-05-02,t1,4,74,5.41
La Roche-Posay,skincare,worldwide,1,2026-05-02,t1,82,74,110.81
Vanicream,skincare,worldwide,1,2026-05-02,t1,0,74,0.0
CeraVe,skincare,worldwide,1,2026-05-03,t1,71,71,100.0
Cetaphil,skincare,worldwide,1,2026-05-03,t1,3,71,4.23
Neutrogena,skincare,worldwide,1,2026-05-03,t1,4,71,5.63
La Roche-Posay,skincare,worldwide,1,2026-05-03,t1,84,71,118.31
Vanicream,skincare,worldwide,1,2026-05-03,t1,0,71,0.0
CeraVe,skincare,worldwide,1,2026-05-04,t2,69,69,100.0
